Locality_ID,Geosite_Name,Latitude_WGS84,Longitude_WGS84,Elevation_m,Slope_deg,Ruggedness,Dist_to_Highway_m,LULC_Friction,Dist_to_Settlement_m,Reference,Title,Expert_Class,Confidence,Expert_Reasoning
loc_01130,Marine fossils & phosphate genesis,23.47686111111111,-15.94618611111111,47.96494674682617,0.5197956634622148,0.3268031311035156,141.8767568833711,0.1,24154.126331541363,"Baadi and Lebreton, 2023",Exo- and Endokarst of the Middle Atlas (Morocco): From Inventory to Promotion,,,
loc_01128,Continental uplift & coastal erosion,23.812833333333334,-15.892722222222222,10.376712799072266,0.661347243407683,0.2352635192871093,690.9467215141011,0.1,14167.67592195321,"Baadi and Lebreton, 2023",Exo- and Endokarst of the Middle Atlas (Morocco): From Inventory to Promotion,,,
loc_01135,Migmatites & deep petrogenesis,22.59975,-14.357177777777778,295.6584777832031,0.591004300032917,0.20949951171875,1442.8388702267505,0.1,202728.49531355288,"Baadi and Lebreton, 2023",Exo- and Endokarst of the Middle Atlas (Morocco): From Inventory to Promotion,,,
loc_01134,Orthogenesis & dyke and pluton intrusions,22.505591666666668,-14.30453888888889,284.2257080078125,0.669316074170591,0.273504638671875,2318.6016336673565,0.1,213424.9472385202,"Baadi and Lebreton, 2023",Exo- and Endokarst of the Middle Atlas (Morocco): From Inventory to Promotion,,,
loc_01129,Artesian well,23.92295,-15.719727777777775,1.771447777748108,1.604533605013722,1.0702632862329482,2321.669061124604,0.1,34121.121291937605,"Baadi and Lebreton, 2023",Exo- and Endokarst of the Middle Atlas (Morocco): From Inventory to Promotion,,,
loc_01131,Continental fossils & sedimentaion,23.791772222222225,-15.67058611111111,52.80573272705078,0.6766162865229253,0.3815193176269531,4042.901739146404,0.1,29791.84726407764,"Baadi and Lebreton, 2023",Exo- and Endokarst of the Middle Atlas (Morocco): From Inventory to Promotion,,,
loc_00204,Akhfennir Sinkhole,28.166666666666668,-12.05,0.0,0.0,0.0,6591.580221496209,0.9,159346.1897945999,,,,,
loc_01136,Upper Ordovician glaciation & unconformity,22.712541666666667,-14.368130555555556,325.9266052246094,0.906884172931036,0.396246337890625,6828.2761517413865,0.1,194474.6455843028,"Baadi and Lebreton, 2023",Exo- and Endokarst of the Middle Atlas (Morocco): From Inventory to Promotion,,,
loc_01137,Nappe kinematics & metapelites,22.590333333333334,-14.535102777777778,263.4624328613281,0.9066243614259352,0.476510009765625,10457.8377695777,0.1,189176.6465880055,"Baadi and Lebreton, 2023",Exo- and Endokarst of the Middle Atlas (Morocco): From Inventory to Promotion,,,
loc_01142,Oued Eddahab,26.28188611111111,-13.033919444444445,173.27940368652344,0.7106102957615075,0.3424774169921875,20856.923846753536,0.1,98348.00598745007,"Baadi and Lebreton, 2023",Exo- and Endokarst of the Middle Atlas (Morocco): From Inventory to Promotion,,,
loc_01133,Metagabbros,23.12788611111111,-14.65530277777778,236.2509002685547,0.7070891094198374,0.3719207763671875,22429.79571121443,0.1,145712.26398431195,"Baadi and Lebreton, 2023",Exo- and Endokarst of the Middle Atlas (Morocco): From Inventory to Promotion,,,
loc_01132,Continental sedimentation & unconformity,23.504219444444445,-15.081366666666666,241.6957244873047,0.6484001952164542,0.3433160400390625,23950.265300178657,0.1,90311.2473919484,"Baadi and Lebreton, 2023",Exo- and Endokarst of the Middle Atlas (Morocco): From Inventory to Promotion,,,
