Locality_ID,Geosite_Name,Latitude_WGS84,Longitude_WGS84,Elevation_m,Slope_deg,Ruggedness,Dist_to_Highway_m,LULC_Friction,Dist_to_Settlement_m,Reference,Title,Expert_Class,Confidence,Expert_Reasoning
loc_00116,Folded structure1,31.192766666666667,-9.65986111111111,365.2033996582031,17.781481300059614,10.64741455078125,10.828921353417195,0.35,36782.134844993205,,,,,
loc_00120,Alluvial cone,31.09843333333333,-9.813108333333334,89.40814971923828,13.410289336252122,6.585305786132812,27.51019962353808,0.15,46222.23996803106,,,,,
loc_01146,Yellow dolomite lower limestone Contact,33.218075,-8.56158888888889,11.787344932556152,5.150462965052976,2.815116519927978,29.9958201906962,0.15,6476.863150006958,"Baadi and Lebreton, 2023",Exo- and Endokarst of the Middle Atlas (Morocco): From Inventory to Promotion,,,
loc_00114,Macrofossils,31.15208055555556,-9.705341666666666,441.0716552734375,6.171238214821642,3.408128662109375,32.192483380297155,0.15,40363.59042232605,,,,,
loc_00084,The western tip of the Cambrian crest,31.930247222222224,-8.828119444444445,369.3472290039063,5.4616528870483245,2.9679541015625,33.7765718877266,0.2,44800.541275025134,,,,,
loc_00119,Amsittene folded structures,31.20817222222222,-9.703027777777775,274.30841064453125,9.64938439951962,5.026954345703125,34.7200619781668,0.05,34227.54351253357,,,,,
loc_01145,Marine fauna of the lower limestone,33.21745277777778,-8.565969444444445,4.510181427001953,6.357591093198916,6.3974467512965205,38.329444736333976,0.15,6874.981970732658,"Baadi and Lebreton, 2023",Exo- and Endokarst of the Middle Atlas (Morocco): From Inventory to Promotion,,,
loc_00080,"Faiult mirror-gradin 
crystallization",31.89871388888889,-8.863727777777777,335.5243530273437,8.223339209273426,4.68259765625,50.25985818213582,0.2,49637.87279148787,,,,,
loc_00321,Panorama of a geological succession with several uncon formities (Tahannaout; Douar Sour),31.343988888888887,-7.951219444444445,942.3464965820312,9.69385354537848,5.1170361328125,51.68382664758417,0.1,31544.66312052868,,,,,
loc_00109,Triassic-Quaternary contact,31.098191666666665,-9.822580555555556,44.27710723876953,14.204003470871106,7.679365005493164,71.39399882608672,0.15,46351.919300204056,,,,,
loc_00325,Moulay Brahim landscape,31.29238611111112,-7.965736111111111,1037.993896484375,16.795974846622688,8.150341796875,71.95267081417268,0.15,37143.30334189791,,,,,
loc_01147,Marabout Sidi Bouzid,33.21928055555556,-8.56093888888889,16.229820251464844,4.968050861089041,2.065449361801148,75.17934566122261,0.15,6364.927196256905,"Baadi and Lebreton, 2023",Exo- and Endokarst of the Middle Atlas (Morocco): From Inventory to Promotion,,,
loc_00656,Pyrrhotites of Kettara,30.947883333333333,-8.265052777777777,1315.20263671875,8.860613730240903,3.6091796875,89.39901951112027,0.55,79049.98293485623,"Salhi et al., 2026",Assessment of Geosites in Northern Morocco_Diversity and Richness with Potential for Socioeconomic Development,,,
loc_00649,Cambrian Gres-Quartzitic Facies,32.718325,-7.937405555555555,277.1278076171875,13.343506382817235,7.108487548828125,96.09745327289428,0.15,43329.21372211004,"Salhi et al., 2026",Assessment of Geosites in Northern Morocco_Diversity and Richness with Potential for Socioeconomic Development,,,
loc_00352,Jbel Irhoud,31.913833333333333,-8.838466666666667,374.3307189941406,4.474073710655336,2.62452880859375,119.30670178849095,0.2,46839.14857053644,,,,,
loc_00319,"Specimen from the drill core showing a mineralized quartz-chlorite 
vein crosscut by a carbonate (CC) vein",31.877572222222224,-8.187175,456.2500305175781,2.096561513122872,1.21927490234375,142.85346003320672,0.2,33677.12354315281,,,,,
loc_00110,Quaternary-Jurassic contact,31.09722777777778,-9.824833333333332,10.163599014282228,10.564291111957164,9.994418334960937,173.16817718265557,0.15,46485.23825201117,,,,,
loc_00327,Imlil landscape,31.13441111111111,-7.9208944444444445,1827.5001220703125,36.52933388152695,25.129677734375,187.72533348562737,0.15,55025.7557672822,,,,,
loc_00094,beach of Sidi Bouzide,33.22591944444444,-8.555186111111112,0.0,3.00676456072625,0.7773285102844238,210.32595282187933,0.9,5586.782223275792,,,,,
loc_00323,"Syn-sedimentary tectonic geosite: Hemigraben perched on visean basement, graben, tilted block and normal faults (Tibizzit)",31.32345277777777,-7.955347222222223,965.7528076171876,8.820794550208149,4.620283203125,215.48693294867388,0.55,33774.90695616549,,,,,
loc_01150,Angular unconformity of Cambrian-Cretaceous,32.65006944444444,-7.798116666666666,218.28118896484372,6.337657466005919,4.065484008789063,254.6706449677409,0.2,42570.45668329824,"Baadi and Németh, 2023","Volcanic Landscape of the Middle Atlas: A Representative Heritage of Moroccan Geological History









",,,
loc_00115,Fossiliferous dunes,31.160627777777776,-9.705713888888887,383.3132934570313,7.186310205388199,3.90877685546875,302.1257071389781,0.1,39417.0476328105,,,,,
loc_00654,Micashiste of Lalla Titaf,32.249405555555555,-7.97335,461.9107360839844,1.0946539779668272,0.706624755859375,348.91958491642424,0.2,1838.1038808736128,"Salhi et al., 2026",Assessment of Geosites in Northern Morocco_Diversity and Richness with Potential for Socioeconomic Development,,,
loc_00322,Normal faults with tilted blocks (Zawyat bou houta),31.330672222222223,-7.954158333333334,955.7674560546876,16.30850207486318,9.91682373046875,409.75301791308345,0.15,32986.99786127176,,,,,
