Locality_ID,Geosite_Name,Latitude_WGS84,Longitude_WGS84,Elevation_m,Slope_deg,Ruggedness,Dist_to_Highway_m,LULC_Friction,Dist_to_Settlement_m,Reference,Title,Expert_Class,Confidence,Expert_Reasoning
loc_00814,Sidi Yahya,33.74138888888889,-4.326219444444444,1077.5333251953125,8.1235464620095,4.5328173828125,2.869901584621676,0.2,47778.41469223637,Akhlidej et al.2024,"Inventory and quantitative assessment of Devonian geosites in the Azrou-Khenifra Basin (eastern band of the Central Hercynian Massif, Morocco)",,,
loc_00884,Ain El Aouda,34.09748888888889,-4.037113888888888,1479.3004150390625,12.212783019505098,6.363828125,9.376101949575483,0.15,14959.652940985436,"Baadi and Sabaoui, 2023",Cenozoic Sites of the Middle Atlas (Morocco): An Alpine Heritage to Be Preserved,,,
loc_00793,Tizi Bou-Zaabel,33.64558888888889,-4.1551,2263.26318359375,22.20837363171657,10.585341796875,11.438738653098362,0.1,61797.415855260326,"Baadi, 2023e",Fluvial Heritage of the Middle Atlas (Morocco): An Essential Element for Regional Sustainable Development,,,
loc_00838,Selghert,33.147,-4.980333333333333,1988.9359130859373,2.38816776273968,1.37921875,11.465825537176714,0.15,33538.00741607864,"Baadi et al., 2023",Paleozoic-Lower and Middle Lias Lithostratigraphic and Sedimentological Geosites of the Middle Atlas (Morocco): Inventory and Valorization,,,
loc_00844,Tamgert Iktaaïn (Tizi N’Julierh),33.467105555555555,-4.449630555555556,1532.3729248046875,17.864086186600172,10.2842041015625,14.72297929033144,0.1,28408.998839061765,"Baadi et al., 2023",Paleozoic-Lower and Middle Lias Lithostratigraphic and Sedimentological Geosites of the Middle Atlas (Morocco): Inventory and Valorization,,,
loc_00794,Tizi Oughmari,33.46958888888889,-5.16506388888889,1623.0601806640625,27.328244222023976,15.6332568359375,14.856496659994354,0.55,6933.816952264848,"Baadi, 2023e",Fluvial Heritage of the Middle Atlas (Morocco): An Essential Element for Regional Sustainable Development,,,
loc_00911,Ain Tataw,33.46128055555556,-4.295644444444444,1612.33154296875,15.89363537888404,8.354658203125,16.50131767623095,0.35,41709.48087064494,"Baadi, 2023c",The Palaeontological Heritage of Vertebrates in the Middle Atlas (Morocco): Initiatives of Inventory and Assessment for a Rare Heritage Threatened with Degradation,,,
loc_00790,Pontde Sebou,33.83229722222222,-4.646211111111111,485.4567260742188,13.956868762476985,9.34022216796875,20.133665786911543,0.05,17304.36355676414,"Baadi, 2023d",Hydric Geosites of Middle Atlas: A Natural Heritage Under Threat,,,
loc_00953,Sabhab,33.89850555555555,-4.045475,1164.0975341796875,11.29961653620858,6.1668701171875,20.375713825096696,0.55,37021.38784739104,"Baadi, 2023d",Hydric Geosites of Middle Atlas: A Natural Heritage Under Threat,,,
loc_00815,Silt of Sefrou,33.85794722222222,-4.850958333333333,803.017822265625,6.337987112025647,3.861259765625,23.041523725546924,0.15,4019.1802969887462,Akhlidej et al.2024,"Inventory and quantitative assessment of Devonian geosites in the Azrou-Khenifra Basin (eastern band of the Central Hercynian Massif, Morocco)",,,
loc_00913,Ain Tifratine,33.198430555555554,-5.196027777777778,1951.2884521484373,5.493951957575043,3.276484375,23.42365243766889,0.2,26369.828016783405,"Baadi, 2023c",The Palaeontological Heritage of Vertebrates in the Middle Atlas (Morocco): Initiatives of Inventory and Assessment for a Rare Heritage Threatened with Degradation,,,
loc_00820,Aït Abdellah,33.41758333333333,-4.443222222222222,1617.5784912109375,10.645495644690884,6.689306640625,25.890339000737328,0.1,27249.669100712163,"Baadi et al., 2023",Paleozoic-Lower and Middle Lias Lithostratigraphic and Sedimentological Geosites of the Middle Atlas (Morocco): Inventory and Valorization,,,
loc_00878,Ain Ajaabou,33.272283333333334,-5.341147222222222,1611.195068359375,25.812728696418045,17.281806640625,29.19486127197293,0.55,20912.875551894707,"Baadi and Sabaoui, 2023",Cenozoic Sites of the Middle Atlas (Morocco): An Alpine Heritage to Be Preserved,,,
